index,value,Density,gASA [m^2/g],AVAf [fraction],AVAg [cm^3/g],Di (LCD) [A],Df (PLD)[A]
106276,6.166650327340236,1.09135,501.742,0.0189,0.017318,5.87262,5.36023
105726,2.255894446322612,1.0792,564.656,0.0343,0.0317829,6.08414,5.50794
107012,4.964464830474074,0.985835,542.957,0.03682,0.0373491,7.06731,6.81438
74402,3.818129070735929,1.02938,519.394,0.02662,0.0258601,6.15817,4.89676
105632,7.213057589790272,1.10327,592.238,0.03158,0.0286241,6.22115,5.7748
102166,6.776506096030775,1.09376,340.158,0.01358,0.0124159,5.67601,4.26138
92777,5.66447904327111,1.06423,597.639,0.03762,0.0353496,6.21871,5.55456
107585,5.432651550706069,1.07265,626.784,0.04624,0.0431082,6.40352,5.76067
34676,4.609632896925103,1.0443,491.926,0.02276,0.0217945,5.94875,4.84044
107354,4.9989479182439025,1.059,228.562,0.00522,0.00492918,5.08826,4.17392
76311,4.631625637761144,1.14477,367.452,0.0161,0.014064,5.74202,4.67748
109108,3.397143885730822,1.13022,371.405,0.01594,0.0141035,5.86192,4.45933
104573,5.484698806713507,1.12452,161.793,0.0037,0.00329029,5.20062,4.17055
107588,4.981907961201591,1.14795,398.051,0.02232,0.0194434,5.92945,5.24279
106500,4.927465854438314,1.10186,504.233,0.03526,0.0320004,6.56347,6.11422
108008,3.354052264092115,1.0943,452.71,0.01782,0.0162845,5.5756,4.93664
108505,3.261179179170788,1.04151,730.883,0.04944,0.0474693,6.43273,5.93852
107465,3.7214537639770535,1.09107,256.972,0.00546,0.00500428,4.87786,4.18599
110532,6.272904676014366,1.05078,277.87,0.0042,0.00399705,4.83618,4.20366
108860,3.962168250844064,1.0075,604.14,0.03662,0.0363475,6.71719,5.83157
114324,5.209450422115857,1.10605,504.367,0.02242,0.0202703,5.54889,5.25047
117902,5.292993764758026,1.09712,263.522,0.00824,0.00751054,5.37369,4.28379
106328,2.081818814705438,1.09586,297.72,0.00738,0.00673441,4.87711,4.42818
107484,3.178914810080615,1.02096,288.085,0.00578,0.00566132,4.91078,4.18894
47600,4.732268717437466,0.984762,474.89,0.01882,0.0191112,6.06561,4.6821
108546,4.825583490328803,1.03926,748.568,0.05568,0.0535765,6.56627,6.18319
109075,4.822199807274933,1.1047,466.222,0.02306,0.0208745,6.28581,4.66614
116486,2.32113824773701,1.01234,639.519,0.0247,0.0243988,6.53099,4.50691
108161,7.788244567345631,1.00911,313.898,0.00766,0.00759087,5.50235,4.33373
108439,5.55891063463689,1.02552,513.535,0.02048,0.0199703,5.82529,4.96946
92743,6.043304829323322,1.03466,743.165,0.04842,0.0467979,6.18102,5.75151
