index,value,Density,gASA [m^2/g],AVAf [fraction],AVAg [cm^3/g],Di (LCD) [A],Df (PLD)[A]
146491,5.903129979999427,1.02016,460.932,0.01224,0.0119981,5.20394,4.2143
106750,2.9154829959109194,1.02393,517.696,0.01014,0.00990305,4.76988,4.34253
106748,7.622949401892733,1.0275,544.285,0.0091,0.00885643,4.70105,4.24574
133342,3.9825632052712288,1.03783,442.908,0.01138,0.0109651,4.85559,4.22132
107422,1.9992883348241557,0.859156,1115.85,0.0305,0.0355,5.35539,4.56241
51045,6.2935801373404265,0.941391,906.002,0.02184,0.0231997,5.00933,4.20396
46607,4.454844847518406,1.02073,412.69,0.0147,0.0144014,5.47825,4.22127
67720,4.702091417758016,1.00701,521.577,0.01178,0.011698,5.29231,4.26808
49436,7.2057945965236865,0.990929,588.121,0.01932,0.0194969,5.50496,4.21511
34608,6.427767744152301,0.971605,680.307,0.0221,0.0227459,5.46803,4.20549
4399,4.674514881946378,1.04946,360.255,0.0094,0.00895697,5.326,4.11087
42935,7.53054419528061,0.933259,802.535,0.02684,0.0287594,5.64467,4.43542
110154,7.464457830505773,1.00772,616.26,0.0142,0.0140912,4.88419,4.26156
106749,3.319294118603141,1.05737,426.118,0.00662,0.00626084,4.65675,4.18977
112335,5.357658390093121,1.06225,356.704,0.00778,0.00732408,4.85839,4.19288
140201,4.789321667736482,0.992331,648.061,0.01602,0.0161438,5.16908,4.26325
106768,3.149306914672376,1.03554,540.055,0.00894,0.0086332,4.70104,4.24565
75058,6.467146558994992,0.879395,1058.91,0.02678,0.0304528,5.58563,4.15407
65828,6.913217023247825,0.921654,897.772,0.03168,0.034373,5.44501,4.4008
110490,4.160847179998,0.89606,1008.53,0.02296,0.0256233,5.3199,4.45118
143374,3.8364018527157353,0.831016,1237.96,0.02984,0.0359079,5.31861,4.48814
51100,7.176075783794094,0.908671,952.458,0.02764,0.030418,5.49874,4.4307
56524,7.835357828711258,0.831638,1191.67,0.03662,0.0440336,5.64383,4.30356
41803,5.911072261276074,0.945662,714.436,0.0247,0.0261193,5.69301,4.7821
17529,5.4271886928332735,0.869479,1104.33,0.02916,0.0335373,5.55636,4.38545
19788,4.533161431991322,0.851847,1125.39,0.03526,0.0413924,6.0382,4.20447
35419,4.132727612776097,0.811002,1324.29,0.02698,0.0332675,5.67334,4.11562
106354,3.9063443209272344,0.960326,780.701,0.01604,0.0167027,5.2514,4.3219
46577,5.769182283308321,0.945205,900.205,0.01708,0.0180702,5.14566,4.16175
56425,6.958171912776637,0.837666,1175.18,0.04698,0.0560844,5.58068,4.84131
