cif_path,voidfraction[widom],density[kg/m^3],surfacearea[m^2/g],LCD[A],PLD[A],H%,N%,O%,C%
../hCOF/linker100_CH2_linker31_NH_und_relaxed_interp_2.cif,0.883614,201.4501193,7595.58,20.25914,16.60628,43.18181818,9.090909091,2.272727273,45.45454545
../hCOF/linker100_CH2_linker32_NH_qtz_relaxed.cif,0.936843,115.5482382,8061.08,22.80302,21.19424,40.47619048,14.28571429,2.380952381,42.85714286
../hCOF/linker100_CH2_linker32_NH_qtz_relaxed_interp_2.cif,0.866177,231.0964764,6993.46,22.00649,19.97161,40.47619048,14.28571429,2.380952381,42.85714286
../hCOF/linker100_CH2_linker32_NH_und_relaxed.cif,0.947659,101.313762,8041.56,30.94993,28.24498,40.47619048,14.28571429,2.380952381,42.85714286
../hCOF/linker100_CH2_linker32_NH_und_relaxed_interp_2.cif,0.892179,202.627524,7531.71,20.08723,16.30069,40.47619048,14.28571429,2.380952381,42.85714286
../hCOF/linker100_CH2_linker33_NH_qtz_relaxed.cif,0.935314,123.6007408,7783.3,23.08289,21.4294,41.30434783,8.695652174,2.173913043,47.82608696
../hCOF/linker100_CH2_linker33_NH_qtz_relaxed_interp_2.cif,0.862246,247.2014816,6678.69,21.06226,20.36285,41.30434783,8.695652174,2.173913043,47.82608696
../hCOF/linker100_CH2_linker33_NH_und_relaxed.cif,0.942976,109.452526,7960.01,29.7255,26.93818,41.30434783,8.695652174,2.173913043,47.82608696
../hCOF/linker100_CH2_linker33_NH_und_relaxed_interp_2.cif,0.883921,218.905052,7495.09,18.58557,15.34035,41.30434783,8.695652174,2.173913043,47.82608696
../hCOF/linker100_CH2_linker34_NH_qtz_relaxed.cif,0.930225,138.0050445,7401.83,21.00979,18.48039,34.09090909,9.090909091,11.36363636,45.45454545
../hCOF/linker100_CH2_linker34_NH_qtz_relaxed_interp_2.cif,0.855527,276.010089,6530.88,18.50214,16.44298,34.09090909,9.090909091,11.36363636,45.45454545
../hCOF/linker100_CH2_linker36_NH_qtz_relaxed.cif,0.939526,120.6105363,7910.34,21.82519,20.5014,39.53488372,9.302325581,2.325581395,48.8372093
../hCOF/linker100_CH2_linker36_NH_qtz_relaxed_interp_2.cif,0.870324,241.2210725,6791.68,21.1803,19.61355,39.53488372,9.302325581,2.325581395,48.8372093
../hCOF/linker100_CH2_linker36_NH_und_relaxed.cif,0.947461,105.9898078,7918.79,31.16264,28.01685,39.53488372,9.302325581,2.325581395,48.8372093
../hCOF/linker100_CH2_linker36_NH_und_relaxed_interp_2.cif,0.890647,211.9796156,7216.45,19.86617,15.30359,39.53488372,9.302325581,2.325581395,48.8372093
../hCOF/linker100_CH2_linker38_NH_qtz_relaxed.cif,0.938663,127.6463693,7541.2,22.20776,20.7778,35.71428571,9.523809524,7.142857143,47.61904762
../hCOF/linker100_CH2_linker38_NH_qtz_relaxed_interp_2.cif,0.869817,255.2927387,6553.71,18.78005,12.76773,35.71428571,9.523809524,7.142857143,47.61904762
../hCOF/linker100_CH2_linker39_NH_und_relaxed.cif,0.954167,102.4038693,7603.58,33.88632,30.90639,34.21052632,15.78947368,2.631578947,47.36842105
../hCOF/linker100_CH2_linker39_NH_und_relaxed_interp_2.cif,0.904969,204.8077386,6980.46,21.6353,20.0519,34.21052632,15.78947368,2.631578947,47.36842105
../hCOF/linker100_CH2_linker3_NH_qtz_relaxed.cif,0.891787,177.2204329,7606,15.76651,14.87701,45.45454545,6.060606061,3.03030303,45.45454545
../hCOF/linker100_CH2_linker3_NH_qtz_relaxed_interp_2.cif,0.756128,354.4408659,5326.43,14.94603,13.85323,45.45454545,6.060606061,3.03030303,45.45454545
../hCOF/linker100_CH2_linker3_NH_und_relaxed.cif,0.913714,151.5722114,7860.26,23.67966,20.97035,45.45454545,6.060606061,3.03030303,45.45454545
../hCOF/linker100_CH2_linker40_NH_qtz_relaxed.cif,0.943099,124.8759419,7439.7,22.65908,21.65815,32.5,10,7.5,50
../hCOF/linker100_CH2_linker40_NH_qtz_relaxed_interp_2.cif,0.881615,249.7518838,6199.13,22.2066,21.25115,32.5,10,7.5,50
../hCOF/linker100_CH2_linker40_NH_und_relaxed.cif,0.952011,109.7068529,7526.69,32.01134,28.61979,32.5,10,7.5,50
../hCOF/linker100_CH2_linker40_NH_und_relaxed_interp_2.cif,0.901152,219.4137057,7085.41,18.99482,15.5087,32.5,10,7.5,50
../hCOF/linker100_CH2_linker41_NH_qtz_relaxed.cif,0.90633,192.2897561,7235.21,17.01747,15.93314,37.5,9.375,6.25,46.875
../hCOF/linker100_CH2_linker41_NH_qtz_relaxed_interp_2.cif,0.792817,384.5795123,5234.82,16.15839,15.70807,37.5,9.375,6.25,46.875
../hCOF/linker100_CH2_linker41_NH_und_relaxed.cif,0.920289,167.3790547,7285.46,23.23219,20.44123,37.5,9.375,6.25,46.875
../hCOF/linker100_CH2_linker42_NH_qtz_relaxed.cif,0.90186,221.3393373,6833.23,16.81712,15.46688,32.35294118,11.76470588,8.823529412,47.05882353
../hCOF/linker100_CH2_linker42_NH_qtz_relaxed_interp_2.cif,0.770249,442.6786746,3878.69,15.78535,15.39035,32.35294118,11.76470588,8.823529412,47.05882353
../hCOF/linker100_CH2_linker42_NH_und_relaxed.cif,0.913497,192.8100291,6650.16,25.60587,21.04428,32.35294118,11.76470588,8.823529412,47.05882353
../hCOF/linker100_CH2_linker43_NH_qtz_relaxed.cif,0.873402,241.0675978,6516.34,16.78274,15.89856,37.5,10,7.5,45
../hCOF/linker100_CH2_linker44_NH_qtz_relaxed.cif,0.846841,261.8431141,6872.68,16.11063,14.59251,41.30434783,8.695652174,6.52173913,43.47826087
