cif_path,VF,vSA,gSA,PLD,LCD,DR,log_Kxe,log_Kkr,K_selec
../hMOF/acs.inorgchem.6b02407_ic6b02407_si_002_clean.cif,0.6214,1995.17,2076.59,3.76503,6.36153,1.6896359391558633,-6.579408824,-9.20791332,4.014798856341519
../hMOF/acs.inorgchem.6b02407_ic6b02407_si_003_clean.cif,0.5614,1617.2,1441.52,4.32537,6.24791,1.4444798942055823,-5.319677887,-8.632323499,4.6989399730603525
../hMOF/acs.inorgchem.6b02514_ic6b02514_si_002_clean.cif,0.6002,1494.27,1105.59,5.5321099999999985,6.09101,1.101028359884384,-8.793197054,-11.09832884,3.691426150394984
../hMOF/acs.jchemed.6b00258_ed6b00258_si_005_clean.cif,0.4476,446.112,304.2390000000001,3.3150699999999995,4.5494900000000005,1.3723661943790024,-6.856919589,-9.677184199,4.2065589705005335
../hMOF/acscombsci.5b00188_24205_clean.cif,0.5558,1666.29,1319.94,4.91361,5.32506,1.0837368045082942,-4.486036951,-8.468884095,5.369141505292448
../hMOF/acscombsci.5b00188_34903_clean.cif,0.542,1748.44,807.285,5.85025,6.15808,1.0526182641767443,-3.047512002,-7.627907845,5.9666902036289216
../hMOF/acscombsci.5b00188_5040209_clean.cif,0.6162,1848.9,1767.06,5.53143,7.3732,1.332964531775689,-5.749595026,-9.245704372,4.882403706621265
../hMOF/acscombsci.5b00188_8372_clean.cif,0.7062,3178.07,3314.45,4.46842,5.7583,1.288665792,-10.02180723,-11.6487429,3.0132300261244023
../hMOF/ACUBAB_clean.cif,0.5252,1238.98,536.484,4.30295,6.48174,1.5063479705783245,-8.308254047,-11.26477715,4.342817469
../hMOF/ACUTOI_clean.cif,0.4076,820.91,477.29,4.5372,5.192,1.1443180816362517,-5.18509583,-9.252146184,5.453344714900679
../hMOF/ADABUE_clean.cif,0.4708,439.176,299.509,3.31506,4.5494900000000005,1.3723703341719304,-6.942134531,-9.627954987,4.072114818
../hMOF/ADAXEK_clean.cif,0.5042,1305.6,1033.38,4.10445,5.76724,1.4051188344357954,-5.303764174,-8.731253124,4.813783311611989
../hMOF/ADAXIO_clean.cif,0.4934,1140.41,890.52,5.00855,5.72682,1.1434087710015874,-5.018416993,-8.933838061,5.301715428805287
../hMOF/ADIQEL_clean.cif,0.4682,785.544,634.715,3.91364,4.43355,1.1328456373095124,-2.856255589,-6.494943888,5.024982659545328
../hMOF/ADOBAX_charged.cif,0.4676,473.584,289.129,3.76596,5.54673,1.4728595099257558,-7.178624811,-10.36228698,4.569956534093163
../hMOF/ADOBEB_charged.cif,0.4672,473.912,289.33,3.76943,5.50949,1.4616241712938032,-7.187254919,-10.36112634,4.560165784552681
../hMOF/ADOBIF_clean.cif,0.4886,944.037,594.207,3.82743,5.54781,1.4494869925772649,-7.493471489,-10.16442903,4.0572519020091375
../hMOF/ADOBOL_charged.cif,0.454,456.212,265.831,3.85295,5.48974,1.4248147523326284,-6.991890433,-10.31536719,4.709771118303725
../hMOF/ADOBUR_charged.cif,0.456,447.49300000000005,263.145,3.86825,5.46006,1.4115064951851612,-7.046793233,-10.29570085,4.635201982588672
../hMOF/ADOCEC_clean.cif,0.4904,942.082,613.56,3.83278,5.40135,1.4092512484410793,-7.444457841,-10.2110649,4.152901416319528
../hMOF/ADODII_clean.cif,0.5394,1091.8,897.4119999999998,5.30365,5.97541,1.1266599417382368,-5.377501276,-9.127194791,5.135987875582084
../hMOF/ADODOO_clean.cif,0.5256,1054.79,818.961,5.31331,5.9443,1.1187564813647235,-5.008430726,-8.986133386,5.363997021485312
../hMOF/ADODUU_clean.cif,0.521,1050.53,798.439,5.29096,5.9333800000000005,1.1214184193416694,-4.887124692,-8.900842993,5.400012661956698
../hMOF/AFEJOK_ion_b.cif,0.5808,1640.7,1489.79,5.12689,5.99825,1.1699587859306515,-6.677683781,-9.7662732,4.474883780057599
../hMOF/AFEKAX_clean.cif,0.6409999999999999,1565.63,1585.8,6.994210000000002,8.19182,1.1712287735140925,-4.159100707,-6.714559726,3.941753379718208
../hMOF/AFENEE_clean.cif,0.4856,796.3,637.5219999999998,3.41581,4.49346,1.315488859157857,-5.085419726,-8.088353412,4.3892280473451475
../hMOF/AFIPAH_clean.cif,0.5032,841.2919999999998,457.509,3.90569,4.375380000000002,1.1202578801697012,-8.348581858,-10.53868286,3.576395359117668
../hMOF/AFITEP_clean.cif,0.5262,1521.04,1422.49,4.09997,4.6402199999999985,1.131769256848221,-4.73559555,-7.985286346,4.6359851572849085
